name,Monday ,Tuesday ,Wednesday ,Thursday ,Friday,Saturday ,Sunday,Weekly cost,Predict rate
Yeast Dry - Fleischman,41.3,87,55,54.0,56.7,38,24.6,24.9,44.3
Napkin White,76.7,90,25,49.1,44.8,39,44.5,45.3,32.4
Lychee - Canned,32.3,71,36,57.0,48.5,32,37.9,25.1,37.6
Steampan - Foil,75.0,82,52,46.3,47.3,50,31.4,37.8,86.9
Muffin - Bran Ind Wrpd,74.5,30,58,45.6,52.5,52,39.2,27.0,79.0
"Tortillas - Flour, 8",41.6,45,70,50.3,53.7,60,44.5,45.0,89.1
Mushroom - King Eryingii,20.9,66,41,45.8,56.4,23,42.7,31.7,13.6
Wine - Spumante Bambino White,48.7,39,41,40.8,41.4,29,55.7,40.2,79.4
"Gingerale - Schweppes, 355 Ml",29.8,57,47,57.5,44.2,41,25.7,16.7,81.4
Pear - Prickly,49.9,78,30,56.0,56.3,50,24.1,25.8,40.3
Pie Filling - Cherry,35.8,64,67,57.6,52.5,37,59.3,40.7,25.0
"Tart Shells - Barquettes, Savory",55.4,47,50,55.5,55.1,28,57.0,49.8,12.5
"Rice Pilaf, Dry,package",31.3,87,33,46.8,44.3,54,29.1,33.0,20.2
Bread - Sour Batard,69.3,57,27,53.9,40.9,21,21.5,41.6,71.2
Wine - Pinot Noir Pond Haddock,66.3,68,57,57.3,46.4,36,30.2,23.4,55.4
Contreau,72.0,23,53,46.7,53.1,60,44.5,43.2,70.6
Sauce - Vodka Blush,31.7,62,58,51.7,54.7,31,57.2,21.3,60.3
Crab - Meat Combo,73.8,61,60,44.8,50.3,26,31.2,32.1,69.8
Versatainer Nc - 888,74.6,42,37,43.0,58.0,46,48.2,37.4,83.4
Crab Brie In Phyllo,76.3,45,33,48.2,54.0,47,34.6,41.6,42.9
Pectin,59.1,37,49,44.4,46.5,34,43.9,10.6,52.8
Lettuce - Radicchio,61.0,20,54,54.5,55.4,60,57.2,48.4,84.6
"Fish - Scallops, Cold Smoked",23.5,65,62,48.1,52.5,48,43.2,45.3,74.7
Pork - Hock And Feet Attached,20.4,77,37,45.5,56.9,44,57.5,41.1,25.5
Island Oasis - Magarita Mix,42.0,49,31,50.2,46.5,38,49.6,41.6,85.4
Pomegranates,50.3,35,50,54.5,44.8,28,59.9,18.5,48.2
